ratio: 1   filename:keys_4M_L6-20.txt
Hash size: 4000000 (testing with 4000000)
POS test set size: 1000000 (testing with 1000000)
NEG test set size: 250000 (testing with 250000)

Total execution: 193.479 seconds  (115 seconds for inserts)

3260000	16,9597	1,03651e+08
3280000	16,8866	1,03989e+08
3300000	16,8286	1,04325e+08
3320000	16,9235	1,04664e+08
3340000	16,9585	1,05003e+08
3360000	16,8666	1,0534e+08
3380000	16,88	1,05678e+08
3400000	16,9977	1,06018e+08
3420000	16,8041	1,06354e+08
3440000	16,6112	1,06686e+08
3460000	16,8156	1,07022e+08
3480000	16,7	1,07356e+08
3500000	16,569	1,07688e+08
3520000	16,445	1,08017e+08
3540000	16,5306	1,08347e+08
3560000	16,7665	1,08683e+08
3580000	16,6103	1,09015e+08
3600000	16,916	1,09353e+08
3620000	16,7666	1,09688e+08
3640000	16,5134	1,10019e+08
3660000	16,728	1,10353e+08
3680000	16,5975	1,10685e+08
3700000	16,5635	1,11016e+08
3720000	16,5501	1,11347e+08
3740000	16,4625	1,11677e+08
3760000	16,4586	1,12006e+08
3780000	16,511	1,12336e+08
3800000	16,2282	1,12661e+08
3820000	16,0677	1,12982e+08
3840000	16,2263	1,13307e+08
3860000	16,4564	1,13636e+08
3880000	16,3221	1,13962e+08
3900000	16,423	1,14291e+08
3920000	16,1111	1,14613e+08
3940000	16,0274	1,14933e+08
3960000	15,8054	1,15249e+08
3980000	15,8385	1,15566e+08
4000000	15,8122	1,15882e+08
